"subjID"	"a1"	"beta1"	"a2"	"beta2"	"pi"	"w"	"lambda"
33	0.492616873173929	2.5911218658105	0.0439086094067597	4.01651049810786	2.58853987626658	0.295436896777536	0.987754126850281
35	0.0754940817515371	1.86936889318362	0.0359459082156921	3.98462213542316	1.22062369378705	0.323359715163408	0.987710302999852
45	0.330046997728979	8.27345782387293	0.912079693539078	4.7234847080229	1.82850213975907	0.643430882253767	0.987774954956731
57	0.0287945022848164	7.65949216820705	0.0320726773554939	5.44110810493926	0.274861110899257	0.280276087368243	0.9880911068228
59	0.489866207208305	1.5920957308877	0.499997225078116	2.06433661256793	0.559432716803063	0.274906083557008	0.987952157303166
61	0.530180578254316	2.24144680256398	0.700153573635912	2.82058503917049	1.50976945924099	0.376004119374128	0.987899302150104
65	0.848934001818143	6.6385995045721	0.214650611839374	2.37397684225268	0.384263767544783	0.210795519989586	0.988185920867897
71	0.68146531429344	2.85507016095348	0.466700537502681	3.59885750094918	2.6134857639878	0.301064452908149	0.987958347908729
72	0.663096096989637	8.59146007018919	0.589182547404324	3.09892597946678	1.81520432811127	0.303005042289078	0.988190197941428
87	0.452526026928098	4.37336191145124	0.483157780515654	1.80703903696672	0.797660686404262	0.253259823043899	0.987736411138056
89	0.620314866166166	1.49617716530307	0.0162647717506697	2.94283562540059	0.29096341697222	0.35180466468348	0.987776593334801
94	0.88089380823717	2.84834037371588	0.773596324918649	2.29625777922518	1.75294965863382	0.239888423053264	0.987739891696375
244	0.383010660816583	1.58940579720764	0.621769124144889	1.85476572369958	0.357534374117392	0.306783916059191	0.987732573532275
245	0.398171411418253	2.43006816061328	0.502789935938727	2.69499436559545	1.83236774725533	0.329893887764329	0.987683265646722
248	0.279295090957553	2.30370389442124	0.163832098470002	3.54391783090352	2.83071416268396	0.343552447543468	0.987779377102881
250	0.3994218264008	1.65031852281841	0.110647188305711	2.67919097275985	1.38257540146983	0.313742237148306	0.98779699417976
251	0.76389130651772	4.16019043720785	0.37893209930656	6.26179913459497	2.04005227150792	0.344189281978216	0.988003031265946
252	0.0346721011970109	5.97891084429895	0.407299534348818	1.68661697752698	0.166285655769664	0.197346842026718	0.987542883129704
258	0.434103343385732	4.53002554134051	0.409645082633251	5.67627670928028	1.03598464006489	0.398875254614538	0.9875899682538
275	0.0673065064560224	3.69464793762749	0.0901449957177838	2.76537505596028	0.941697404340409	0.256613071428574	0.987844032539416
278	0.214532264869335	2.51574291707415	0.0227144873605165	7.60901491563363	1.54552187454988	0.328786298742434	0.987739751554443
290	0.828255408485465	1.97253952983821	0.321799810942811	3.24814958717985	0.914611701268281	0.251569917635419	0.987901242170654
294	0.0825330731426883	5.00626733953065	0.10511857538287	2.77545310977339	0.30561205676715	0.299742460946224	0.987762561001092
298	0.460003267146884	3.36925547677787	0.110106888652416	6.52140909016883	2.11801492088124	0.350548467564269	0.987527275163708
299	0.232983125675526	4.00630908642155	0.0140939079662665	3.13778325784374	1.05172121110997	0.293957410425737	0.987685375844881
303	0.147570566499439	1.70510587533811	0.0916975838336223	2.28695524093759	1.14585788954209	0.334514710999033	0.987816826217739
305	0.593482422624505	3.98285952494414	0.362034885061543	3.80909676999308	2.90198289183451	0.296539221354871	0.987966917285529
307	0.408504800469448	2.32794366031161	0.0961975458988485	6.65753660873209	1.89649331215216	0.301583839585512	0.987755686339756
312	0.488112239869235	5.05386400207705	0.305929638810676	5.93412645175968	1.85023123856588	0.267101177762423	0.987880395926401
335	0.067270179999735	5.86415556002534	0.0264114943843783	4.83953975305799	1.14564133468364	0.280154841895159	0.987836788561914
353	0.567597589150843	1.9183409874903	0.0255389167258203	6.35843348414704	0.827714888487714	0.312924525867951	0.987611030468851
363	0.794697452773086	1.86050795147396	0.360594537008856	1.58617531908426	1.1059571012313	0.271215393067326	0.987924884673427
369	0.348219221962268	3.59688278664634	0.45368128632577	2.77956410457378	1.69924091028725	0.208361703606353	0.987836334053177
383	0.159118383905711	2.36768093325819	0.0694958389870285	2.58578426059607	2.25206971834219	0.325758648032158	0.987620826636101
394	0.418926741995832	1.30435027884442	0.744811838936123	2.19711240780286	0.0900962855100904	0.287377779887818	0.987702878268239
396	0.28826234343226	1.697565477235	0.0708636397681186	2.37162872109663	0.22868552796464	0.310450686092554	0.987742929361836
398	0.182039401315417	2.14772400706569	0.118926289889006	2.28586043771429	0.549979611682594	0.313813223838563	0.988048507982285
401	0.597102839436141	5.31988455631297	0.0569185425645137	9.65832413562955	2.78660742696408	0.26441497101638	0.98789495912427
442	0.582094217539577	1.8070423199623	0.19851052465724	2.29386953852445	1.63406570964865	0.23040029338687	0.98792802327565
423	0.624126334577428	3.75001057767753	0.383639221377591	1.87164250556918	1.64794605098107	0.284972813463647	0.988047381276905
428	0.485724174070334	6.73316432191179	0.614132131259547	3.4607775850322	1.79325168744599	0.499545626258469	0.987943130813094
