"ExpName"	"Trial"	"Stay"	"PrReward"	"PrTransition"	"RT1"	"RT2"	"level1_choice"	"level2_choice"	"reward"	"transition"	"Time"	"subjID"
"InstructionMarkovVideoG"	70	1	1	1	0.18465	0.36929	1	4	1	0	1	33
"InstructionMarkovVideoG"	71	1	1	-1	0.16753	0.4031	1	1	1	1	1	33
"InstructionMarkovVideoG"	72	1	1	1	0.21739	0.413795	1	2	1	1	1	33
"InstructionMarkovVideoG"	73	1	1	1	0.267805	1.319835	1	1	1	1	1	33
"InstructionMarkovVideoG"	74	1	1	1	0.417265	0.50161	1	1	0	1	1	33
"InstructionMarkovVideoG"	75	1	-1	1	0.36934	0.449335	1	1	1	1	1	33
"InstructionMarkovVideoG"	76	1	1	1	0.317415	0.453835	1	1	1	1	1	33
"InstructionMarkovVideoG"	77	1	1	1	0.249845	0.48501	1	1	0	1	1	33
"InstructionMarkovVideoG"	78	1	-1	1	0.20099	0.871185	1	1	0	1	1	33
"InstructionMarkovVideoG"	79	1	-1	1	0.15193	0.418345	1	1	0	1	1	33
"InstructionMarkovVideoG"	80	1	-1	1	0.21641	1.036035	1	4	1	0	1	33
"InstructionMarkovVideoG"	81	1	1	-1	0.138435	0.55203	1	1	1	1	1	33
"InstructionMarkovVideoG"	82	1	1	1	0.45299	0.634305	1	4	1	0	1	33
"InstructionMarkovVideoG"	83	1	1	-1	0.184875	0.518055	1	1	0	1	1	33
"InstructionMarkovVideoG"	84	1	-1	1	0.42034	0.552475	1	1	0	1	1	33
"InstructionMarkovVideoG"	85	0	-1	1	0.25401	0.56812	2	4	1	1	1	33
"InstructionMarkovVideoG"	86	1	1	1	0.26763	0.350105	2	1	1	0	1	33
"InstructionMarkovVideoG"	87	1	1	-1	0.17201	0.733965	2	4	0	1	1	33
"InstructionMarkovVideoG"	88	1	-1	1	0.33347	0.418585	2	4	1	1	1	33
"InstructionMarkovVideoG"	89	1	1	1	0.23358	0.535815	2	1	0	0	1	33
"InstructionMarkovVideoG"	90	1	-1	-1	0.400105	0.73632	2	4	1	1	1	33
"InstructionMarkovVideoG"	91	1	1	1	0.23793	0.534275	2	4	0	1	1	33
"InstructionMarkovVideoG"	92	1	-1	1	0.001905	0.435875	2	4	0	1	1	33
"InstructionMarkovVideoG"	93	1	-1	1	0.20028	0.436625	2	1	0	0	1	33
"InstructionMarkovVideoG"	94	1	-1	-1	0.334575	0.5002	2	2	0	0	1	33
"InstructionMarkovVideoG"	95	0	-1	-1	0.35306	0.31866	1	2	1	1	1	33
"InstructionMarkovVideoG"	96	1	1	1	0.30356	0.40184	1	2	0	1	1	33
"InstructionMarkovVideoG"	97	1	-1	1	0.184965	0.73585	1	2	1	1	1	33
"InstructionMarkovVideoG"	98	1	1	1	0.137885	0.351435	1	3	1	0	1	33
"InstructionMarkovVideoG"	99	1	1	-1	0.13369	0.417595	1	3	1	0	1	33
"InstructionMarkovVideoG"	100	1	1	-1	0.13777	0.5674	1	2	0	1	1	33
"InstructionMarkovVideoG"	101	1	-1	1	0.0505	0.7346	1	2	1	1	1	33
"InstructionMarkovVideoG"	102	1	1	1	0.184665	0.501425	1	1	0	1	1	33
"InstructionMarkovVideoG"	103	1	-1	1	0.372145	0.417095	1	1	1	1	1	33
"InstructionMarkovVideoG"	104	1	1	1	0.300715	0.56861	1	4	1	0	1	33
"InstructionMarkovVideoG"	105	1	1	-1	0.14985	0.985195	1	1	1	1	1	33
"InstructionMarkovVideoG"	106	1	1	1	0.118305	0.401055	1	1	0	1	1	33
"InstructionMarkovVideoG"	107	1	-1	1	0.30561	0.499585	1	1	0	1	1	33
"InstructionMarkovVideoG"	108	1	-1	1	0.134305	0.51832	1	1	0	1	1	33
"InstructionMarkovVideoG"	109	1	-1	1	0.19994	0.50052	1	1	0	1	1	33
"InstructionMarkovVideoG"	110	1	-1	1	0.250035	0.43582	1	1	1	1	1	33
"InstructionMarkovVideoG"	111	1	1	1	0.304955	0.65177	1	1	0	1	1	33
"InstructionMarkovVideoG"	112	1	-1	1	0.39865	1.735	1	4	0	0	1	33
"InstructionMarkovVideoG"	113	1	-1	-1	0.255625	0.303315	1	1	0	1	1	33
"InstructionMarkovVideoG"	114	1	-1	1	0.121215	0.620015	1	2	1	1	1	33
"InstructionMarkovVideoG"	115	1	1	1	0.402145	0.55162	1	3	1	0	1	33
"InstructionMarkovVideoG"	116	1	1	-1	0.069405	0.40313	1	2	1	1	1	33
