"ExpName"	"Trial"	"Stay"	"PrReward"	"PrTransition"	"RT1"	"RT2"	"Choice1"	"Choice2"	"reward"	"transition"	"Time"	"subjID"
"MarkovTaskGamblingJ2"	11	1	1	0	0.538565	0.83709	"i"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	12	1	0	1	1.291235	1.13183	"i"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	14	1	1	1	0.339585	0.8219	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	15	1	1	1	0.5527	0.75254	"e"	"i"	1	1	2	34
"MarkovTaskGamblingJ2"	16	1	1	1	0.34209	1.1659	"e"	"i"	0	0	2	34
"MarkovTaskGamblingJ2"	17	1	0	0	0.469735	1.65939	"e"	"i"	1	1	2	34
"MarkovTaskGamblingJ2"	18	1	1	1	0.28625	0.73489	"e"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	19	1	0	1	0.77029	0.394285	"e"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	20	1	0	1	1.159305	1.434865	"e"	"i"	0	0	2	34
"MarkovTaskGamblingJ2"	21	0	0	0	0.48626	1.28878	"i"	"i"	0	0	2	34
"MarkovTaskGamblingJ2"	22	1	0	0	0.37004	0.309935	"i"	"e"	0	0	2	34
"MarkovTaskGamblingJ2"	23	0	0	0	0.821645	0.736135	"e"	"i"	1	1	2	34
"MarkovTaskGamblingJ2"	24	0	1	1	1.676495	1.624455	"i"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	25	1	0	1	0.48349	1.15426	"i"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	26	1	1	1	1.559595	0.63406	"i"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	27	0	0	1	0.67523	0.36256	"e"	"i"	1	1	2	34
"MarkovTaskGamblingJ2"	28	1	1	1	0.677535	0.630005	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	29	0	1	1	0.539045	0.80264	"i"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	30	1	1	1	0.334295	1.341375	"i"	"i"	1	0	2	34
"MarkovTaskGamblingJ2"	31	0	1	0	0.444815	0.601475	"e"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	32	1	0	1	0.469935	0.444705	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	33	0	1	1	0.443225	0.852835	"i"	"i"	0	0	2	34
"MarkovTaskGamblingJ2"	34	1	0	0	0.47607	0.9655	"i"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	35	0	0	1	0.838125	0.3857	"e"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	36	1	0	1	0.290355	0.3375	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	37	1	1	1	0.63265	0.633625	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	38	1	1	1	0.419345	0.657615	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	39	1	1	1	0.35397	0.800055	"e"	"i"	1	0	2	34
"MarkovTaskGamblingJ2"	40	1	1	0	0.3312	0.737885	"e"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	41	1	0	1	0.310865	1.024375	"e"	"i"	0	0	2	34
"MarkovTaskGamblingJ2"	42	1	0	0	0.369235	1.155025	"e"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	43	1	0	1	0.23497	0.31894	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	44	1	1	1	0.486185	0.918945	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	46	0	0	1	0.821375	0.73611	"e"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	47	1	0	1	0.605455	1.40998	"e"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	48	1	0	1	0.70521	0.41594	"e"	"i"	1	1	2	34
"MarkovTaskGamblingJ2"	49	1	1	1	0.37152	1.409375	"e"	"i"	1	0	2	34
"MarkovTaskGamblingJ2"	50	1	1	0	1.106625	0.937895	"e"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	51	1	0	1	0.621245	1.80772	"e"	"i"	0	0	2	34
"MarkovTaskGamblingJ2"	52	1	0	0	0.625045	0.90441	"e"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	53	1	0	1	0.301345	0.368	"e"	"e"	0	0	2	34
"MarkovTaskGamblingJ2"	54	0	0	0	0.27857	0.713645	"i"	"i"	1	0	2	34
"MarkovTaskGamblingJ2"	56	1	1	1	0.654925	0.72295	"i"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	57	1	1	1	0.31471	0.55164	"i"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	58	1	1	1	0.33567	0.672575	"i"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	59	1	0	1	0.425305	0.908445	"i"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	60	1	0	1	0.426815	0.82165	"i"	"i"	0	0	2	34
"MarkovTaskGamblingJ2"	61	1	0	0	0.19204	0.76288	"i"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	62	1	1	1	0.543865	0.400545	"i"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	63	1	1	1	0.40838	0.46684	"i"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	64	1	1	1	0.508	0.95467	"i"	"i"	1	1	2	34
"MarkovTaskGamblingJ2"	65	1	1	1	0.491805	0.6719	"i"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	66	1	0	1	0.53576	0.596585	"i"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	67	1	1	1	0.402495	0.3838	"i"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	68	1	0	1	0.0121	0.33202	"i"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	69	0	0	1	0.620195	0.587395	"e"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	70	1	0	1	0.358765	0.92049	"e"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	71	1	0	1	0.420305	0.36868	"e"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	72	1	0	1	0.48811	1.3217	"e"	"e"	1	0	2	34
"MarkovTaskGamblingJ2"	73	1	1	0	0.670665	1.440175	"e"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	74	1	0	1	0.445655	0.69902	"e"	"e"	0	0	2	34
"MarkovTaskGamblingJ2"	75	0	0	0	0.035705	0.462095	"i"	"i"	1	0	2	34
"MarkovTaskGamblingJ2"	76	1	1	0	0.62485	0.687035	"i"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	77	1	0	1	0.44056	1.23834	"i"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	78	1	0	1	1.31767	1.7232	"i"	"i"	0	0	2	34
"MarkovTaskGamblingJ2"	79	1	0	0	0.618255	1.755585	"i"	"i"	1	1	2	34
"MarkovTaskGamblingJ2"	80	1	1	1	0.90867	0.86492	"i"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	81	1	0	1	0.435005	1.457735	"i"	"i"	1	0	2	34
"MarkovTaskGamblingJ2"	82	1	1	0	0.6884	1.20561	"i"	"i"	1	0	2	34
"MarkovTaskGamblingJ2"	83	1	1	0	0.419715	0.83743	"i"	"e"	0	1	2	34
"MarkovTaskGamblingJ2"	85	1	0	0	0.235335	0.58419	"e"	"i"	1	1	2	34
"MarkovTaskGamblingJ2"	86	1	1	1	0.319915	0.47923	"e"	"e"	0	0	2	34
"MarkovTaskGamblingJ2"	87	1	0	0	0.557955	0.65209	"e"	"i"	1	0	2	34
"MarkovTaskGamblingJ2"	88	1	1	0	0.781085	1.38429	"e"	"i"	0	1	2	34
"MarkovTaskGamblingJ2"	89	1	0	1	0.35384	0.854355	"e"	"i"	1	0	2	34
"MarkovTaskGamblingJ2"	90	1	1	0	0.31978	1.305655	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	91	1	1	1	0.556155	0.786045	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	92	1	1	1	0.339265	0.71481	"e"	"i"	0	0	2	34
"MarkovTaskGamblingJ2"	93	1	0	0	0.492805	0.869415	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	95	1	1	1	0.520075	1.254275	"e"	"e"	1	1	2	34
"MarkovTaskGamblingJ2"	97	0	0	0	1.10132	1.45089	"i"	"i"	1	0	2	34
