Instruction_KeyP.keys,Instruction_KeyP.rt,Instruction2_KeyP.keys,Instruction2_KeyP.rt,Choice1.keys,Choice1.rt,Ex_Step1.thisRepN,Ex_Step1.thisTrialN,Ex_Step1.thisN,Ex_Step1.thisIndex,Ex_Step1.ran,email,date,expName,psychopyVersion,OS,frameRate
space,10.457,space,17.241,e,1.042,0,0,0,0,1,test,2021-02-17_21h29.54.045,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.287,1,0,1,0,1,test,2021-02-17_21h29.54.045,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,e,0.238,2,0,2,0,1,test,2021-02-17_21h29.54.045,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.267,3,0,3,0,1,test,2021-02-17_21h29.54.045,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,e,0.257,4,0,4,0,1,test,2021-02-17_21h29.54.045,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.284,5,0,5,0,1,test,2021-02-17_21h29.54.045,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,e,0.303,6,0,6,0,1,test,2021-02-17_21h29.54.045,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.249,7,0,7,0,1,test,2021-02-17_21h29.54.045,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,e,0.204,8,0,8,0,1,test,2021-02-17_21h29.54.045,InstructionMarkovVideoG,2020.2.6,MacIntel,60
,,,,i,0.453,9,0,9,0,1,test,2021-02-17_21h29.54.045,InstructionMarkovVideoG,2020.2.6,MacIntel,60
