InstrVideoKR.keys,InstrVideoKR.rt,CravingKR.keys,CravingKR.corr,CravingKR.rt,ResistKR.keys,ResistKR.corr,ResistKR.rt,StressKR.keys,StressKR.corr,StressKR.rt,VideoGLoop.thisRepN,VideoGLoop.thisTrialN,VideoGLoop.thisN,VideoGLoop.thisIndex,VideoGLoop.ran,Video,email,date,expName,psychopyVersion,OS,frameRate,VraieTacheKR.keys,VraieTacheKR.rt,Choice1.keys,Choice1.rt,Transition,Choice2.keys,Choice2.rt,Reward,Task2.thisRepN,Task2.thisTrialN,Task2.thisN,Task2.thisIndex,Task2.ran,Ntrial,Walk21,PChoice21,Walk22,PChoice22,Walk23,PChoice23,Walk24,PChoice24,FinTache1KR.keys,FinTache1KR.rt,FinTache2KR.keys,FinTache2KR.rt
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.35178,1,i,0.32011,0,0,13,13,199,1,200,-0.04,0.36,-0.01,0.72,0.02,0.3,-0.05,0.3,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.31864,1,e,0.36764,1,0,14,14,133,1,134,-0.03,0.71,0.02,0.72,0.07,0.46,-0.01,0.3,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.32788,1,i,0.311255,0,0,15,15,62,1,63,-0.02,0.56,-0.01,0.58,0.02,0.53,-0.03,0.46,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.33523,1,i,0.367555,1,0,16,16,197,1,198,-0.02,0.41,-0.01,0.71,-0.05,0.26,0,0.26,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.301885,1,e,0.266165,1,0,17,17,28,1,29,0.01,0.71,-0.02,0.62,0,0.59,0,0.69,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.16822,1,i,0.35225,1,0,18,18,118,1,119,0.04,0.69,0.02,0.68,0.08,0.43,-0.03,0.27,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.31791,1,i,0.36558,0,0,19,19,88,1,89,-0.03,0.69,0.01,0.56,0.02,0.35,-0.03,0.45,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.34064,1,e,0.33299,1,0,20,20,138,1,139,0.01,0.73,0.05,0.74,0.02,0.49,0.01,0.29,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,e,0.26903,1,i,0.318035,0,0,21,21,154,1,155,0.01,0.6,0.02,0.7,0,0.48,-0.04,0.3,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.10119,1,i,0.335825,0,0,22,22,182,1,183,0.05,0.45,0,0.7,-0.01,0.36,0,0.28,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.337475,1,i,0.300535,0,0,23,23,142,1,143,-0.02,0.68,0.03,0.71,0.03,0.61,0.01,0.26,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.33497,1,e,0.379405,1,0,24,24,20,1,21,0.06,0.64,0,0.56,-0.01,0.54,0.04,0.69,,,,
,,,,,,,,,,,,,,,,,test,2021-02-16_15h04.12.442,MarkovTaskGamblingJ2,2020.2.6,MacIntel,60,,,i,0.351275,1,e,0.385265,1,0,25,25,43,1,44,-0.02,0.69,0.01,0.62,0.02,0.59,0,0.69,,,,
