InstrVideoKR.keys,InstrVideoKR.rt,CravingKR.keys,CravingKR.corr,CravingKR.rt,ResistKR.keys,ResistKR.corr,ResistKR.rt,StressKR.keys,StressKR.corr,StressKR.rt,VideoNLoop.thisRepN,VideoNLoop.thisTrialN,VideoNLoop.thisN,VideoNLoop.thisIndex,VideoNLoop.ran,Video,email,date,expName,psychopyVersion,OS,frameRate,DebutTache2KR.keys,DebutTache2KR.rt,Choice1.keys,Choice1.rt,Transition,Choice2.keys,Choice2.rt,Reward,Task2.thisRepN,Task2.thisTrialN,Task2.thisN,Task2.thisIndex,Task2.ran,Ntrial,Walk21,PChoice21,Walk22,PChoice22,Walk23,PChoice23,Walk24,PChoice24
space,0.734,5,0,1.007,5,0,0.14,5,0,0.119,0,0,0,2,1,WashOff3.mp4,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,1,1,6,1,WashOff7.mp4,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,2,2,1,1,WashOff2.mp4,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,3,3,5,1,WashOff6.mp4,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,4,4,7,1,WashOff8.mp4,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,5,5,4,1,WashOff5.mp4,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,6,6,0,1,WashOff1.mp4,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,7,7,9,1,WashOff10.mp4,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,8,8,8,1,WashOff9.mp4,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,9,9,3,1,WashOff4.mp4,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,5,0,1.792,5,0,0.22,5,0,0.18,,,,,,,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,space,0.973,e,0.747,1,i,0.263,0,0,0,0,169,1,170,-0.05,0.55,0.04,0.67,0,0.44,-0.01,0.28
,,,,,,,,,,,,,,,,,test,2021-02-18_09h08.52.819,MarkovTaskNeutreJ2,2020.2.6,MacIntel,60,,,e,0.233,0,i,0.244,0,0,1,1,49,1,50,-0.02,0.63,-0.01,0.62,-0.01,0.54,0,0.66
